Period 46 	 [2, 33, 49, 51] 0.88 days. [3] R: 0
Period 46 	 [3, 2, 33, 49] 1.05 days. [2] R: 0
Period 46 	 [4, 2, 33, 37, 36] 0.90 days. [12] R: 0
Period 46 	 [4, 2, 33, 49, 48] 1.29 days. [3] R: 0
Period 46 	 [6, 33, 49, 51] 0.83 days. [2] R: 0
Period 46 	 [5, 6, 33, 37, 36] 0.89 days. [1] R: 0
Period 46 	 [7, 6, 33, 49, 48] 1.14 days. [1] R: 0
Period 46 	 [8, 6, 33, 19, 20] 1.10 days. [1] R: 0
Period 46 	 [10, 6, 33, 49, 51] 0.95 days. [1] R: 0
Period 46 	 [59, 6, 33, 49, 54] 0.94 days. [3] R: 0
Period 46 	 [61, 6, 33, 12, 11] 0.95 days. [3] R: 0
Period 46 	 [66, 6, 33, 49, 51] 0.97 days. [9] R: 0
Period 46 	 [66, 6, 33, 49, 54] 0.97 days. [2] R: 0
Period 46 	 [12, 33, 49, 51] 0.65 days. [4] R: 0
Period 46 	 [15, 12, 33, 49, 55] 0.90 days. [2] R: 0
Period 46 	 [72, 12, 33, 49, 46] 0.85 days. [1] R: 0
Period 46 	 [72, 12, 33, 49, 48] 0.93 days. [12] R: 0
Period 46 	 [19, 33, 24] 0.84 days. [5] R: 0
Period 46 	 [17, 19, 33, 49, 51] 0.94 days. [1] R: 0
Period 46 	 [18, 19, 33, 12, 16] 0.74 days. [1] R: 0
Period 46 	 [18, 19, 33, 49, 105] 0.76 days. [3] R: 0
Period 46 	 [22, 19, 33, 49, 54] 0.84 days. [1] R: 0
Period 46 	 [73, 19, 33, 49, 53] 0.78 days. [1] R: 0
Period 46 	 [24, 33, 2] 1.05 days. [3] R: 0
Period 46 	 [24, 33, 2, 1] 1.06 days. [20] R: 0
Period 46 	 [24, 33, 12, 11] 0.93 days. [9] R: 0
Period 46 	 [24, 33, 29, 26] 0.92 days. [2] R: 0
Period 46 	 [24, 33, 29, 27] 0.92 days. [1] R: 0
Period 46 	 [23, 24, 33, 49, 48] 1.21 days. [1] R: 0
Period 46 	 [29, 33, 12, 11] 0.67 days. [7] R: 0
Period 46 	 [37, 33, 49, 48] 0.71 days. [3] R: 0
Period 46 	 [33, 49, 51] 0.38 days. [1] R: 0
Period 46 	 [34, 37, 33, 49, 54] 0.67 days. [4] R: 0
Period 46 	 [38, 37, 33, 24] 0.90 days. [6] R: 0
Period 46 	 [38, 37, 33, 49, 53] 0.73 days. [19] R: 0
Period 46 	 [38, 37, 33, 49, 100] 0.73 days. [13] R: 0
Period 46 	 [39, 37, 33, 49, 53] 0.78 days. [9] R: 0
Period 46 	 [40, 37, 33, 49, 51] 0.66 days. [4] R: 0
Period 46 	 [41, 37, 33, 49, 51] 0.71 days. [1] R: 0
Period 46 	 [83, 37, 33, 49, 54] 0.64 days. [1] R: 0
Period 46 	 [87, 37, 33, 49, 54] 0.65 days. [3] R: 0
Period 46 	 [49, 33, 6, 63] 0.88 days. [1] R: 0
Period 46 	 [49, 33, 12, 11] 0.76 days. [3] R: 0
Period 46 	 [42, 49, 54] 0.12 days. [1] R: 0
Period 46 	 [44, 49, 54] 0.12 days. [4] R: 0
Period 46 	 [50, 49, 33, 37, 36] 0.65 days. [2] R: 0
Period 46 	 [52, 49, 54] 0.11 days. [4] R: 0
Period 46 	 [98, 49, 51] 0.12 days. [1] R: 0
Period 46 	 [99, 49, 54] 0.11 days. [5] R: 0
Period 46 	 [102, 49, 48] 0.28 days. [8] R: 0
Period 46 	 [103, 49, 33, 37, 35] 0.69 days. [1] R: 0
Period 47 	 [62, 6, 33, 37, 40] 0.76 days. [1] R: 0
Period 47 	 [66, 6, 33, 37, 35] 0.79 days. [2] R: 0
Period 47 	 [68, 6, 33, 19, 20] 0.97 days. [1] R: 0
Period 47 	 [69, 6, 33, 12, 14] 1.08 days. [1] R: 0
Period 47 	 [11, 12, 33, 37, 40] 0.65 days. [18] R: 22
Period 47 	 [72, 12, 33, 37, 41] 0.60 days. [2] R: 0
Period 47 	 [24, 33] 0.56 days. [2] R: 11
Period 47 	 [24, 33, 37, 36] 0.72 days. [14] R: 11
Period 47 	 [26, 29, 33, 37, 41] 0.69 days. [1] R: 2
Period 47 	 [31, 29, 33, 37, 36] 0.78 days. [2] R: 0
Period 47 	 [48, 49, 33, 6, 61] 1.13 days. [5] R: 23
Period 48 	 [63, 6, 68] 0.20 days. [1] R: 1
Period 48 	 [46, 49, 45] 0.36 days. [2] R: 1
Period 48 	 [55, 49, 33, 19, 20] 0.90 days. [2] R: 2
	 Repartido Periodo 46: 211.000000
	 Repartido Periodo 47: 49.000000
	 Repartido Periodo 48: 5.000000
	 Repartido Periodo 49: 0.000000
Scenario 0
	 Demandas Periodo 46: 421.000000 [0]
	 Demandas Periodo 47: 377.000000 [0]
	 Demandas Periodo 48: 349.000000 [0]
	 Demandas Periodo 49: 237.000000 [0]
Scenario 1
	 Demandas Periodo 46: 492.000000 [0]
	 Demandas Periodo 47: 441.000000 [0]
	 Demandas Periodo 48: 428.000000 [0]
	 Demandas Periodo 49: 323.000000 [0]
Scenario 2
	 Demandas Periodo 46: 416.000000 [0]
	 Demandas Periodo 47: 389.000000 [0]
	 Demandas Periodo 48: 371.000000 [0]
	 Demandas Periodo 49: 269.000000 [0]
ObjVal: 1.333333 Time: 282.446517 GAP: 0.000000
