Period 1 	 [52, 49, 33, 19, 22] 0.85 days. [1] R: 0
Period 1 	 [52, 49, 33, 29] 0.79 days. [5] R: 0
Period 1 	 [52, 49, 33] 0.49 days. [2] R: 0
Period 1 	 [52, 49, 44] 0.13 days. [3] R: 0
Period 1 	 [52, 49, 97] 0.13 days. [1] R: 0
Period 1 	 [53, 49, 33, 6, 5] 1.11 days. [1] R: 0
Period 1 	 [53, 49, 33, 6, 66] 0.98 days. [1] R: 0
Period 1 	 [53, 49, 33, 19, 22] 0.85 days. [1] R: 0
Period 1 	 [53, 49, 33] 0.49 days. [2] R: 0
Period 1 	 [53, 49, 33, 37, 41] 0.72 days. [1] R: 0
Period 1 	 [53, 49, 99] 0.11 days. [1] R: 0
Period 1 	 [53, 49, 100] 0.11 days. [1] R: 0
Period 1 	 [54, 49, 33, 6, 5] 1.11 days. [1] R: 0
Period 1 	 [54, 49, 33, 6, 66] 0.97 days. [1] R: 0
Period 1 	 [54, 49, 33, 12, 72] 0.76 days. [1] R: 0
Period 1 	 [54, 49, 33, 19, 22] 0.84 days. [1] R: 0
Period 1 	 [54, 49, 33, 29] 0.78 days. [1] R: 0
Period 1 	 [54, 49, 33] 0.48 days. [1] R: 0
Period 1 	 [54, 49, 99] 0.11 days. [1] R: 0
Period 1 	 [102, 49, 33, 6, 66] 0.98 days. [1] R: 0
Period 1 	 [102, 49, 33, 37, 87] 0.66 days. [1] R: 0
Period 1 	 [103, 49, 33] 0.49 days. [1] R: 0
Period 1 	 [105, 49, 33] 0.49 days. [1] R: 0
Period 2 	 [2, 33, 37, 35] 0.69 days. [1] R: 0
Period 2 	 [3, 2, 1] 0.17 days. [2] R: 0
Period 2 	 [4, 2, 33, 37, 89] 0.99 days. [1] R: 0
Period 2 	 [57, 2, 33, 29, 28] 0.97 days. [1] R: 1
Period 2 	 [5, 6, 33, 29, 32] 1.11 days. [1] R: 2
Period 2 	 [8, 6, 33, 37, 79] 0.93 days. [1] R: 0
Period 2 	 [59, 6, 33, 37, 38] 0.80 days. [3] R: 4
Period 2 	 [66, 6, 58] 0.31 days. [3] R: 10
Period 2 	 [66, 6, 33, 37, 88] 0.76 days. [1] R: 10
Period 2 	 [66, 6, 33, 37, 96] 0.77 days. [5] R: 10
Period 2 	 [66, 6, 33, 49, 55] 1.02 days. [1] R: 10
Period 2 	 [69, 6, 33, 37, 35] 0.88 days. [7] R: 8
Period 2 	 [69, 6, 33, 37, 79] 0.88 days. [1] R: 8
Period 2 	 [12, 33, 2, 1] 0.77 days. [6] R: 0
Period 2 	 [12, 33, 37, 80] 0.57 days. [1] R: 0
Period 2 	 [12, 33, 37, 83] 0.43 days. [1] R: 0
Period 2 	 [13, 12, 33, 37, 83] 0.60 days. [7] R: 8
Period 2 	 [16, 12, 33, 49, 103] 0.85 days. [2] R: 2
Period 2 	 [71, 12, 33, 6, 7] 0.86 days. [8] R: 10
Period 2 	 [71, 12, 33, 6, 9] 0.84 days. [4] R: 10
Period 2 	 [72, 12, 33, 37, 36] 0.54 days. [4] R: 12
Period 2 	 [72, 12, 33, 37, 80] 0.68 days. [1] R: 12
Period 2 	 [19, 33, 49, 102] 0.67 days. [1] R: 0
Period 2 	 [17, 19, 33, 37, 35] 0.75 days. [10] R: 9
Period 2 	 [18, 19, 33, 6, 7] 0.87 days. [4] R: 0
