Period 16 	 [2, 33, 6, 60] 0.95 days. [1] R: 0
Period 16 	 [3, 2, 33, 49, 42] 1.07 days. [2] R: 0
Period 16 	 [4, 2, 33, 12, 70] 1.01 days. [3] R: 0
Period 16 	 [57, 2, 56] 0.11 days. [1] R: 0
Period 16 	 [6, 33, 29, 31] 0.97 days. [1] R: 0
Period 16 	 [8, 6, 33, 49, 50] 1.13 days. [4] R: 0
Period 16 	 [10, 6, 33, 49] 0.95 days. [1] R: 0
Period 16 	 [59, 6, 33, 2, 0] 1.08 days. [2] R: 0
Period 16 	 [59, 6, 33, 49, 54] 0.94 days. [1] R: 0
Period 16 	 [63, 6, 33, 49] 0.98 days. [1] R: 0
Period 16 	 [64, 6, 33, 49, 52] 0.98 days. [2] R: 0
Period 16 	 [66, 6, 33, 49] 0.97 days. [2] R: 0
Period 16 	 [67, 6] 0.12 days. [17] R: 0
Period 16 	 [12, 33, 49, 42] 0.67 days. [1] R: 0
Period 16 	 [13, 12] 0.17 days. [8] R: 0
Period 16 	 [71, 12, 33] 0.37 days. [1] R: 0
Period 16 	 [17, 19, 33, 49, 98] 0.95 days. [2] R: 0
Period 16 	 [20, 19, 33, 24, 76] 1.03 days. [1] R: 0
Period 16 	 [73, 19, 33, 49, 45] 0.94 days. [1] R: 0
Period 16 	 [74, 19, 33, 6, 5] 1.00 days. [1] R: 0
Period 16 	 [25, 24, 33, 49, 52] 1.15 days. [1] R: 0
Period 16 	 [75, 24, 33, 49, 50] 1.05 days. [8] R: 0
Period 16 	 [77, 24, 33, 6, 68] 1.16 days. [4] R: 0
Period 16 	 [29, 33, 24] 0.86 days. [16] R: 0
Period 16 	 [29, 33, 49, 53] 0.69 days. [1] R: 0
Period 16 	 [32, 29, 33, 37] 0.65 days. [1] R: 0
Period 16 	 [35, 37, 33] 0.30 days. [4] R: 0
Period 16 	 [38, 37, 33, 12, 14] 0.73 days. [1] R: 0
Period 16 	 [38, 37, 33] 0.34 days. [3] R: 0
Period 16 	 [41, 37, 33, 2, 56] 0.83 days. [5] R: 0
Period 16 	 [41, 37, 33] 0.33 days. [1] R: 0
Period 16 	 [79, 37, 33, 6, 68] 0.79 days. [1] R: 0
Period 16 	 [88, 37, 33, 6] 0.72 days. [11] R: 0
Period 16 	 [92, 37, 33, 49, 52] 0.75 days. [1] R: 0
Period 16 	 [96, 37, 33] 0.28 days. [6] R: 0
Period 16 	 [46, 49, 45] 0.36 days. [1] R: 0
Period 16 	 [99, 49, 33] 0.49 days. [4] R: 0
Period 16 	 [99, 49, 50] 0.12 days. [1] R: 0
Period 16 	 [101, 49, 33] 0.49 days. [3] R: 0
Period 16 	 [105, 49, 33, 6, 62] 0.97 days. [1] R: 0
Period 17 	 [3, 2, 4] 0.31 days. [1] R: 0
Period 17 	 [56, 2, 33, 19] 0.88 days. [5] R: 6
Period 17 	 [6, 33, 2, 1] 0.95 days. [20] R: 28
Period 17 	 [6, 68] 0.15 days. [4] R: 28
Period 17 	 [6, 33, 29, 28] 0.82 days. [6] R: 28
Period 17 	 [6, 33, 37, 87] 0.61 days. [1] R: 28
Period 17 	 [6, 33, 49, 51] 0.83 days. [13] R: 28
Period 17 	 [65, 6, 69] 0.28 days. [1] R: 0
Period 17 	 [12, 33, 2, 1] 0.77 days. [1] R: 8
Period 17 	 [12, 33, 6, 9] 0.74 days. [18] R: 8
Period 17 	 [12, 70] 0.10 days. [7] R: 8
Period 17 	 [12, 33, 37] 0.43 days. [1] R: 8
Period 17 	 [14, 12, 33, 19, 17] 0.94 days. [1] R: 1
Period 17 	 [18, 19, 33, 37, 92] 0.63 days. [1] R: 0
Period 17 	 [78, 24, 33, 19] 0.99 days. [3] R: 0
Period 17 	 [26, 29, 33, 49, 102] 0.86 days. [2] R: 0
Period 17 	 [27, 29, 33, 49, 50] 0.86 days. [1] R: 0
Period 17 	 [40, 37, 33, 24, 23] 0.84 days. [1] R: 0
Period 17 	 [41, 37, 38] 0.25 days. [3] R: 0
Period 17 	 [49, 33, 2, 1] 0.88 days. [20] R: 4
Period 17 	 [49, 33, 6, 7] 0.87 days. [2] R: 4
Period 17 	 [49, 33, 6, 9] 0.85 days. [20] R: 4
Period 17 	 [49, 33, 6, 64] 0.87 days. [8] R: 4
Period 17 	 [49, 33, 19, 73] 0.67 days. [7] R: 4
Period 17 	 [49, 33, 37, 38] 0.63 days. [3] R: 4
