Period 22 	 [1, 22] 1.20 days. [11] R: 0
Period 22 	 [2, 16] 1.45 days. [1] R: 0
Period 22 	 [2, 25] 1.80 days. [7] R: 0
Period 22 	 [3, 4] 1.21 days. [2] R: 0
Period 22 	 [3, 102] 1.62 days. [4] R: 0
Period 22 	 [5, 4] 1.71 days. [8] R: 0
Period 22 	 [6, 51, 99] 1.18 days. [5] R: 0
Period 22 	 [7, 73] 1.50 days. [6] R: 0
Period 22 	 [7, 87] 1.33 days. [6] R: 0
Period 22 	 [8, 34] 1.17 days. [6] R: 0
Period 22 	 [9, 22] 1.50 days. [3] R: 0
Period 22 	 [9, 45] 1.28 days. [5] R: 0
Period 22 	 [10, 22] 1.51 days. [3] R: 0
Period 22 	 [10, 96] 1.32 days. [6] R: 0
Period 22 	 [11, 102] 1.30 days. [5] R: 0
Period 22 	 [18, 16] 1.22 days. [1] R: 0
Period 22 	 [18, 97] 1.47 days. [1] R: 0
Period 22 	 [23, 2] 1.85 days. [3] R: 0
Period 22 	 [23, 20] 1.71 days. [4] R: 0
Period 22 	 [23, 82] 1.49 days. [1] R: 0
Period 22 	 [24, 13] 1.44 days. [1] R: 0
Period 22 	 [24, 65] 1.19 days. [2] R: 0
Period 22 	 [24, 79] 1.47 days. [8] R: 0
Period 22 	 [24, 97] 1.16 days. [10] R: 0
Period 22 	 [28, 36] 1.26 days. [1] R: 0
Period 22 	 [29, 0] 1.33 days. [4] R: 0
Period 22 	 [29, 15] 1.23 days. [14] R: 0
Period 22 	 [29, 63] 1.49 days. [1] R: 0
Period 22 	 [29, 76] 1.61 days. [1] R: 0
Period 22 	 [30, 40] 1.32 days. [3] R: 0
Period 22 	 [30, 87] 1.30 days. [1] R: 0
Period 22 	 [32, 0] 1.30 days. [1] R: 0
Period 22 	 [32, 58] 1.52 days. [1] R: 0
Period 22 	 [32, 97] 1.53 days. [3] R: 0
Period 22 	 [37, 35] 1.04 days. [1] R: 0
Period 22 	 [42, 4] 1.75 days. [1] R: 0
Period 22 	 [42, 20] 1.52 days. [1] R: 0
Period 22 	 [42, 87] 1.30 days. [4] R: 0
Period 22 	 [44, 40] 1.30 days. [3] R: 0
Period 22 	 [44, 77] 1.19 days. [1] R: 0
Period 22 	 [49, 61] 1.18 days. [1] R: 0
Period 22 	 [49, 78] 1.23 days. [4] R: 0
Period 22 	 [50, 36] 1.32 days. [8] R: 0
Period 22 	 [50, 104, 99] 1.00 days. [1] R: 0
Period 22 	 [51, 56] 1.68 days. [5] R: 0
Period 22 	 [52, 82] 1.33 days. [1] R: 0
Period 22 	 [52, 86] 1.33 days. [1] R: 0
Period 22 	 [52, 89] 1.27 days. [5] R: 0
Period 22 	 [53, 25] 1.14 days. [2] R: 0
Period 22 	 [53, 57] 1.68 days. [4] R: 0
Period 22 	 [54, 98] 1.02 days. [5] R: 0
Period 22 	 [60, 4] 1.84 days. [4] R: 0
Period 22 	 [60, 20] 1.62 days. [1] R: 0
Period 22 	 [60, 46] 1.08 days. [3] R: 0
Period 22 	 [67, 4] 1.83 days. [1] R: 0
Period 22 	 [67, 87] 1.35 days. [5] R: 0
Period 22 	 [70, 35] 1.23 days. [1] R: 0
Period 22 	 [71, 57] 1.49 days. [2] R: 0
Period 22 	 [72, 35] 1.23 days. [3] R: 0
Period 22 	 [74, 64] 1.49 days. [5] R: 0
Period 22 	 [74, 101] 1.46 days. [1] R: 0
Period 22 	 [75, 88] 1.48 days. [3] R: 0
Period 22 	 [83, 22] 1.18 days. [3] R: 0
Period 22 	 [85, 69] 1.23 days. [1] R: 0
Period 22 	 [100, 13] 1.26 days. [1] R: 0
Period 22 	 [100, 89] 1.27 days. [1] R: 0
Period 22 	 [103, 62] 1.19 days. [2] R: 0
Period 22 	 [105, 68] 1.14 days. [1] R: 0
Period 22 	 [105, 82] 1.33 days. [3] R: 0
Period 23 	 [0, 17] 1.15 days. [4] R: 0
Period 23 	 [1, 52] 1.68 days. [1] R: 0
Period 23 	 [9, 55] 1.14 days. [1] R: 0
Period 23 	 [13, 17] 1.36 days. [2] R: 0
Period 23 	 [15, 84] 1.33 days. [3] R: 0
Period 23 	 [24, 27] 1.54 days. [2] R: 0
Period 23 	 [36, 31] 1.44 days. [1] R: 0
Period 23 	 [36, 104] 1.32 days. [1] R: 0
Period 23 	 [80, 102] 1.24 days. [1] R: 0
	 Repartido Periodo 22: 228.000000
	 Repartido Periodo 23: 16.000000
	 Repartido Periodo 24: 0.000000
	 Repartido Periodo 25: 0.000000
Scenario 0
	 Demandas Periodo 22: 218.000000 [0]
	 Demandas Periodo 23: 235.000000 [0]
	 Demandas Periodo 24: 256.000000 [0]
	 Demandas Periodo 25: 275.000000 [0]
Scenario 1
	 Demandas Periodo 22: 281.000000 [0]
	 Demandas Periodo 23: 306.000000 [0]
	 Demandas Periodo 24: 326.000000 [0]
	 Demandas Periodo 25: 339.000000 [0]
Scenario 2
	 Demandas Periodo 22: 250.000000 [0]
	 Demandas Periodo 23: 266.000000 [0]
	 Demandas Periodo 24: 278.000000 [0]
	 Demandas Periodo 25: 290.000000 [0]
ObjVal: 3.000000 Time: 172.780577 GAP: 0.000000
