Period 40 	 [116, 115] 0.12 days. [6] R: 0
Period 40 	 [116, 118] 0.12 days. [3] R: 0
Period 40 	 [116, 121] 0.11 days. [6] R: 0
Period 40 	 [116, 124] 0.11 days. [5] R: 0
Period 40 	 [116, 126] 0.13 days. [2] R: 0
Period 40 	 [116, 128] 0.14 days. [2] R: 0
Period 40 	 [116, 133] 0.15 days. [1] R: 0
Period 40 	 [116, 137] 0.11 days. [2] R: 0
Period 40 	 [116, 138] 0.10 days. [1] R: 0
Period 40 	 [116, 144] 0.11 days. [1] R: 0
Period 40 	 [116, 153] 0.11 days. [1] R: 0
Period 40 	 [110, 116, 130] 0.25 days. [1] R: 0
Period 40 	 [112, 116, 145] 0.15 days. [2] R: 0
Period 40 	 [113, 116, 122] 0.14 days. [1] R: 0
Period 40 	 [117, 116, 122] 0.10 days. [2] R: 0
Period 40 	 [117, 116, 123] 0.11 days. [1] R: 0
Period 40 	 [125, 116, 156] 0.17 days. [1] R: 0
Period 41 	 [116, 108] 0.18 days. [2] R: 0
Period 41 	 [116, 119] 0.11 days. [1] R: 0
Period 41 	 [116, 122] 0.10 days. [1] R: 0
Period 41 	 [116, 123] 0.11 days. [1] R: 0
Period 41 	 [116, 128] 0.14 days. [1] R: 0
Period 41 	 [116, 154] 0.15 days. [1] R: 0
Period 41 	 [106, 116, 115] 0.19 days. [3] R: 0
Period 41 	 [107, 116, 115] 0.16 days. [2] R: 0
Period 41 	 [110, 116, 126] 0.20 days. [1] R: 0
Period 41 	 [112, 116, 118] 0.16 days. [2] R: 0
Period 41 	 [113, 116, 115] 0.15 days. [2] R: 0
Period 41 	 [117, 116, 121] 0.11 days. [5] R: 0
Period 41 	 [129, 116, 124] 0.16 days. [1] R: 0
Period 41 	 [130, 116, 121] 0.20 days. [2] R: 1
Period 41 	 [131, 116, 124] 0.13 days. [1] R: 0
Period 41 	 [137, 116, 118] 0.13 days. [2] R: 2
Period 41 	 [145, 116, 119] 0.12 days. [1] R: 2
Period 41 	 [145, 116, 142] 0.11 days. [1] R: 2
Period 42 	 [116, 147] 0.12 days. [1] R: 0
Period 42 	 [116, 148] 0.11 days. [1] R: 0
	 Repartido Periodo 40: 38.000000
	 Repartido Periodo 41: 30.000000
	 Repartido Periodo 42: 2.000000
	 Repartido Periodo 43: 0.000000
Scenario 0
	 Demandas Periodo 40: 1155.000000 [205]
	 Demandas Periodo 41: 1099.000000 [0]
	 Demandas Periodo 42: 1120.000000 [0]
	 Demandas Periodo 43: 1106.000000 [0]
Scenario 1
	 Demandas Periodo 40: 1491.000000 [205]
	 Demandas Periodo 41: 1420.000000 [0]
	 Demandas Periodo 42: 1434.000000 [0]
	 Demandas Periodo 43: 1426.000000 [0]
Scenario 2
	 Demandas Periodo 40: 904.000000 [205]
	 Demandas Periodo 41: 858.000000 [0]
	 Demandas Periodo 42: 869.000000 [0]
	 Demandas Periodo 43: 864.000000 [0]
ObjVal: 0.000000 Time: 16.610413 GAP: 0.000000
