Period 10 	 [2, 33, 24] 1.05 days. [14] R: 0
Period 10 	 [0, 2] 0.13 days. [1] R: 0
Period 10 	 [0, 2, 33, 49] 1.01 days. [2] R: 0
Period 10 	 [6, 60] 0.11 days. [2] R: 0
Period 10 	 [6, 33, 49, 42] 0.85 days. [16] R: 0
Period 10 	 [5, 6, 33, 12, 72] 1.00 days. [1] R: 0
Period 10 	 [7, 6, 33, 2] 1.09 days. [1] R: 0
Period 10 	 [10, 6, 33, 37, 34] 0.76 days. [3] R: 0
Period 10 	 [61, 6, 66] 0.17 days. [1] R: 0
Period 10 	 [61, 6, 33, 19, 21] 0.96 days. [1] R: 0
Period 10 	 [65, 6, 33, 49, 42] 0.99 days. [1] R: 0
Period 10 	 [67, 6, 33, 49, 100] 0.95 days. [2] R: 0
Period 10 	 [71, 12, 33, 24] 0.93 days. [1] R: 0
Period 10 	 [19, 33, 37] 0.44 days. [7] R: 0
Period 10 	 [18, 19, 33, 6, 8] 1.01 days. [1] R: 0
Period 10 	 [20, 19, 33, 12, 15] 0.83 days. [3] R: 0
Period 10 	 [23, 24, 33, 29, 31] 1.18 days. [1] R: 0
Period 10 	 [25, 24, 33, 49, 53] 1.15 days. [2] R: 0
Period 10 	 [75, 24, 33, 49, 53] 1.05 days. [1] R: 0
Period 10 	 [78, 24, 33, 49, 53] 1.10 days. [3] R: 0
Period 10 	 [29, 33, 6, 60] 0.75 days. [20] R: 0
Period 10 	 [29, 33, 6, 63] 0.79 days. [1] R: 0
Period 10 	 [29, 33, 6, 66] 0.79 days. [12] R: 0
Period 10 	 [29, 33, 19, 17] 0.75 days. [1] R: 0
Period 10 	 [29, 33, 19, 73] 0.59 days. [5] R: 0
Period 10 	 [29, 33, 19, 74] 0.58 days. [10] R: 0
Period 10 	 [29, 26] 0.17 days. [1] R: 0
Period 10 	 [29, 33, 49, 97] 0.70 days. [7] R: 0
Period 10 	 [28, 29, 33, 24] 1.03 days. [5] R: 0
Period 10 	 [30, 29, 33, 37, 79] 0.66 days. [1] R: 0
Period 10 	 [32, 29, 33, 37] 0.65 days. [1] R: 0
Period 10 	 [37, 33, 6, 59] 0.61 days. [1] R: 0
Period 10 	 [37, 33, 6, 64] 0.65 days. [6] R: 0
Period 10 	 [37, 33, 12, 15] 0.53 days. [5] R: 0
Period 10 	 [37, 33, 19, 17] 0.61 days. [2] R: 0
Period 10 	 [37, 33, 19, 74] 0.44 days. [13] R: 0
Period 10 	 [37, 86] 0.11 days. [1] R: 0
Period 10 	 [37, 87] 0.11 days. [12] R: 0
Period 10 	 [33, 37, 87] 0.17 days. [6] R: 0
Period 10 	 [38, 37, 33, 19, 17] 0.79 days. [4] R: 0
Period 10 	 [39, 37, 33, 19, 73] 0.68 days. [2] R: 0
Period 10 	 [83, 37, 35] 0.14 days. [1] R: 0
Period 10 	 [84, 37, 33, 29] 0.56 days. [3] R: 0
