Period 13 	 [56, 2, 33, 49, 45] 1.15 days. [4] R: 0
Period 13 	 [57, 2, 33, 12, 11] 0.98 days. [2] R: 0
Period 13 	 [6, 33, 29] 0.75 days. [20] R: 0
Period 13 	 [7, 6, 64] 0.18 days. [3] R: 0
Period 13 	 [8, 6, 33, 29, 28] 1.10 days. [4] R: 0
Period 13 	 [8, 6, 33, 37] 0.89 days. [17] R: 0
Period 13 	 [8, 6, 33, 49, 101] 1.12 days. [3] R: 0
Period 13 	 [10, 6, 33, 12, 11] 0.94 days. [16] R: 0
Period 13 	 [10, 6, 33, 37] 0.72 days. [20] R: 0
Period 13 	 [58, 6, 62] 0.30 days. [1] R: 0
Period 13 	 [58, 6, 33, 37, 38] 0.96 days. [1] R: 0
Period 13 	 [58, 6, 33, 49, 101] 1.10 days. [1] R: 0
Period 13 	 [59, 6, 33, 12, 13] 0.89 days. [3] R: 0
Period 13 	 [60, 6, 33, 24] 1.11 days. [4] R: 0
Period 13 	 [61, 6, 33, 37] 0.74 days. [4] R: 0
Period 13 	 [63, 6, 33, 37] 0.75 days. [1] R: 0
Period 13 	 [67, 6, 33, 12, 13] 0.90 days. [2] R: 0
Period 13 	 [68, 6, 33, 29, 28] 0.97 days. [1] R: 0
Period 13 	 [14, 12, 33, 29] 0.79 days. [2] R: 0
Period 13 	 [70, 12, 33, 49] 0.75 days. [1] R: 0
Period 13 	 [19, 33, 6, 5] 0.90 days. [1] R: 0
Period 13 	 [19, 22] 0.18 days. [20] R: 0
Period 13 	 [19, 33, 29, 31] 0.80 days. [1] R: 0
Period 13 	 [19, 33, 49, 53] 0.67 days. [1] R: 0
Period 13 	 [73, 19, 33, 37] 0.55 days. [5] R: 0
Period 13 	 [24, 33, 2, 0] 1.08 days. [4] R: 0
Period 13 	 [24, 33, 12, 71] 0.83 days. [2] R: 0
Period 13 	 [78, 24, 33, 12, 16] 1.07 days. [1] R: 0
Period 13 	 [30, 29] 0.17 days. [2] R: 0
Period 13 	 [32, 29, 33, 12, 72] 0.77 days. [1] R: 0
Period 13 	 [35, 37, 33, 6, 66] 0.79 days. [1] R: 0
Period 13 	 [39, 37, 33, 29] 0.69 days. [14] R: 0
Period 13 	 [80, 37, 33, 2] 0.90 days. [5] R: 0
Period 13 	 [82, 37, 33, 29] 0.57 days. [6] R: 0
Period 13 	 [83, 37] 0.10 days. [1] R: 0
Period 13 	 [87, 37, 33, 49] 0.65 days. [16] R: 0
Period 13 	 [96, 37] 0.12 days. [1] R: 0
Period 13 	 [42, 49, 33, 24] 1.06 days. [3] R: 0
Period 13 	 [44, 49, 33, 6, 69] 1.08 days. [1] R: 0
Period 13 	 [55, 49, 33, 2] 1.03 days. [1] R: 0
Period 13 	 [97, 49, 33, 12, 11] 0.87 days. [8] R: 0
Period 13 	 [97, 49] 0.12 days. [7] R: 0
Period 13 	 [98, 49, 33, 29, 28] 0.87 days. [1] R: 0
Period 13 	 [99, 49, 33, 29] 0.79 days. [1] R: 0
Period 13 	 [100, 49, 33, 12, 71] 0.75 days. [10] R: 0
Period 13 	 [105, 49, 33, 6, 9] 0.96 days. [3] R: 0
Period 14 	 [2, 33, 6, 65] 0.99 days. [1] R: 5
Period 14 	 [5, 6, 33, 12, 14] 1.12 days. [1] R: 1
Period 14 	 [8, 6, 33, 29, 32] 1.12 days. [4] R: 0
Period 14 	 [12, 33, 6, 59] 0.72 days. [3] R: 0
Period 14 	 [12, 33, 24, 78] 0.88 days. [4] R: 0
Period 14 	 [21, 19, 33, 6, 60] 0.93 days. [1] R: 0
Period 14 	 [24, 33, 2, 1] 1.06 days. [1] R: 0
Period 14 	 [24, 33, 37, 82] 0.73 days. [6] R: 0
Period 14 	 [77, 24, 33, 6, 7] 1.15 days. [3] R: 0
Period 14 	 [88, 37, 33, 12, 14] 0.66 days. [1] R: 0
Period 14 	 [45, 49, 33, 6, 58] 1.27 days. [3] R: 0
Period 14 	 [45, 49, 33, 6, 61] 1.13 days. [1] R: 0
Period 14 	 [100, 49, 33, 29] 0.78 days. [1] R: 0
Period 15 	 [65, 6, 33, 37, 38] 0.84 days. [1] R: 1
Period 15 	 [29, 33, 6, 8] 0.93 days. [20] R: 46
Period 15 	 [26, 29, 33, 37, 36] 0.63 days. [1] R: 0
Period 15 	 [37, 33, 19, 18] 0.44 days. [1] R: 49
Period 15 	 [46, 49, 50] 0.20 days. [1] R: 0
	 Repartido Periodo 13: 227.000000
	 Repartido Periodo 14: 30.000000
	 Repartido Periodo 15: 24.000000
	 Repartido Periodo 16: 0.000000
Scenario 0
	 Demandas Periodo 13: 52.000000 [0]
	 Demandas Periodo 14: 52.000000 [0]
	 Demandas Periodo 15: 76.000000 [0]
	 Demandas Periodo 16: 100.000000 [0]
Scenario 1
	 Demandas Periodo 13: 121.000000 [0]
	 Demandas Periodo 14: 130.000000 [0]
	 Demandas Periodo 15: 141.000000 [0]
	 Demandas Periodo 16: 166.000000 [0]
Scenario 2
	 Demandas Periodo 13: 120.000000 [0]
	 Demandas Periodo 14: 131.000000 [0]
	 Demandas Periodo 15: 132.000000 [0]
	 Demandas Periodo 16: 162.000000 [0]
ObjVal: 12.666667 Time: 285.200130 GAP: 0.000000
