Period 13 	 [0, 35] 1.45 days. [2] R: 0
Period 13 	 [0, 98] 1.72 days. [1] R: 0
Period 13 	 [2, 44] 1.67 days. [13] R: 0
Period 13 	 [7, 4] 1.81 days. [3] R: 0
Period 13 	 [12, 40] 1.24 days. [2] R: 0
Period 13 	 [12, 41] 1.25 days. [20] R: 0
Period 13 	 [13, 42] 1.24 days. [8] R: 0
Period 13 	 [15, 30] 1.24 days. [6] R: 0
Period 13 	 [15, 99] 1.29 days. [6] R: 0
Period 13 	 [17, 11] 1.32 days. [11] R: 0
Period 13 	 [18, 5] 1.40 days. [2] R: 0
Period 13 	 [18, 9] 1.50 days. [1] R: 0
Period 13 	 [19, 5] 1.40 days. [11] R: 0
Period 13 	 [20, 34] 1.30 days. [1] R: 0
Period 13 	 [22, 3] 1.14 days. [4] R: 0
Period 13 	 [23, 38] 1.42 days. [1] R: 0
Period 13 	 [23, 67] 1.18 days. [1] R: 0
Period 13 	 [24, 21] 1.53 days. [1] R: 0
Period 13 	 [24, 98] 1.17 days. [2] R: 0
Period 13 	 [25, 40] 1.45 days. [9] R: 0
Period 13 	 [28, 3] 1.34 days. [5] R: 0
Period 13 	 [29, 32] 1.09 days. [4] R: 0
Period 13 	 [33, 32] 1.29 days. [13] R: 0
Period 13 	 [36, 4] 1.49 days. [1] R: 0
Period 13 	 [36, 24] 1.48 days. [1] R: 0
Period 13 	 [37, 3] 1.31 days. [2] R: 0
Period 13 	 [37, 9] 1.33 days. [2] R: 0
Period 13 	 [39, 3] 1.45 days. [6] R: 0
Period 13 	 [39, 40] 1.13 days. [7] R: 0
Period 13 	 [45, 11] 1.13 days. [2] R: 0
Period 13 	 [45, 24] 1.35 days. [1] R: 0
Period 13 	 [49, 99] 1.01 days. [1] R: 0
Period 13 	 [50, 29] 1.42 days. [1] R: 0
Period 13 	 [51, 31] 1.64 days. [1] R: 0
Period 13 	 [51, 40] 1.32 days. [1] R: 0
Period 13 	 [51, 98] 1.01 days. [4] R: 0
Period 13 	 [52, 42] 1.03 days. [4] R: 0
Period 13 	 [54, 8] 1.26 days. [3] R: 0
Period 13 	 [54, 67] 1.15 days. [4] R: 0
Period 13 	 [56, 9] 1.71 days. [5] R: 0
Period 13 	 [57, 30] 1.33 days. [6] R: 0
Period 13 	 [58, 98] 1.25 days. [2] R: 0
Period 13 	 [59, 67] 1.02 days. [2] R: 0
Period 13 	 [59, 98] 1.17 days. [1] R: 0
Period 13 	 [60, 24] 1.19 days. [1] R: 0
Period 13 	 [60, 38] 1.28 days. [1] R: 0
Period 13 	 [61, 3] 1.64 days. [4] R: 0
Period 13 	 [64, 4] 1.81 days. [2] R: 0
Period 13 	 [65, 11] 1.35 days. [1] R: 0
Period 13 	 [68, 4] 1.85 days. [5] R: 0
Period 13 	 [68, 105] 1.14 days. [1] R: 0
Period 13 	 [69, 42] 1.10 days. [8] R: 0
Period 13 	 [70, 9] 1.37 days. [2] R: 0
Period 13 	 [72, 42] 1.24 days. [9] R: 0
Period 13 	 [73, 35] 1.22 days. [5] R: 0
Period 13 	 [75, 34] 1.47 days. [1] R: 0
Period 13 	 [75, 40] 1.48 days. [2] R: 0
Period 13 	 [75, 67] 1.19 days. [5] R: 0
Period 13 	 [76, 11] 1.48 days. [1] R: 0
Period 13 	 [78, 11] 1.53 days. [3] R: 0
Period 13 	 [78, 105] 1.23 days. [1] R: 0
Period 13 	 [80, 30] 1.42 days. [5] R: 0
Period 13 	 [82, 5] 1.23 days. [6] R: 0
Period 13 	 [83, 34] 1.03 days. [1] R: 0
Period 13 	 [83, 98] 1.33 days. [1] R: 0
Period 13 	 [84, 5] 1.23 days. [4] R: 0
Period 13 	 [85, 4] 1.49 days. [2] R: 0
Period 13 	 [86, 38] 1.09 days. [1] R: 0
Period 13 	 [87, 5] 1.23 days. [4] R: 0
Period 13 	 [88, 9] 1.32 days. [5] R: 0
Period 13 	 [88, 42] 1.30 days. [5] R: 0
Period 13 	 [89, 3] 1.40 days. [5] R: 0
Period 13 	 [96, 3] 1.33 days. [5] R: 0
Period 13 	 [97, 4] 1.79 days. [7] R: 0
Period 13 	 [97, 32] 1.53 days. [7] R: 0
Period 13 	 [97, 34] 1.32 days. [1] R: 0
Period 13 	 [100, 67] 1.15 days. [6] R: 0
Period 13 	 [100, 77] 1.19 days. [3] R: 0
Period 13 	 [101, 9] 1.17 days. [3] R: 0
Period 13 	 [102, 5] 1.27 days. [10] R: 0
Period 13 	 [103, 9] 1.16 days. [8] R: 0
Period 14 	 [21, 48] 1.18 days. [1] R: 0
Period 14 	 [30, 48] 1.32 days. [1] R: 0
Period 14 	 [30, 83] 1.30 days. [1] R: 0
Period 14 	 [31, 98] 1.65 days. [1] R: 0
