Period 31 	 [0, 8] 1.59 days. [1] R: 0
Period 31 	 [0, 49] 1.70 days. [3] R: 0
Period 31 	 [1, 39] 1.51 days. [3] R: 0
Period 31 	 [4, 17] 1.16 days. [2] R: 0
Period 31 	 [6, 15] 1.45 days. [1] R: 0
Period 31 	 [13, 19] 1.21 days. [2] R: 0
Period 31 	 [13, 65] 1.33 days. [1] R: 0
Period 31 	 [25, 54] 1.13 days. [1] R: 0
Period 31 	 [28, 31] 1.24 days. [1] R: 0
Period 31 	 [37, 7] 1.32 days. [1] R: 0
Period 31 	 [37, 20] 1.27 days. [2] R: 0
Period 31 	 [38, 3] 1.39 days. [3] R: 0
Period 31 	 [38, 49] 1.27 days. [5] R: 0
Period 31 	 [40, 49] 1.31 days. [1] R: 0
Period 31 	 [40, 53] 1.31 days. [1] R: 0
Period 31 	 [42, 5] 1.24 days. [1] R: 0
Period 31 	 [42, 51] 1.02 days. [5] R: 0
Period 31 	 [45, 34] 1.20 days. [1] R: 0
Period 31 	 [57, 17] 1.14 days. [1] R: 0
Period 31 	 [57, 35] 1.42 days. [1] R: 0
Period 31 	 [59, 46] 1.08 days. [2] R: 0
Period 31 	 [61, 41] 1.40 days. [1] R: 0
Period 31 	 [62, 33] 1.34 days. [1] R: 0
Period 31 	 [64, 7] 1.00 days. [1] R: 0
Period 31 	 [66, 7] 1.00 days. [1] R: 0
Period 31 	 [66, 9] 1.03 days. [1] R: 0
Period 31 	 [69, 10] 1.13 days. [3] R: 0
Period 31 	 [70, 27] 1.15 days. [1] R: 0
Period 31 	 [78, 37] 1.53 days. [1] R: 0
Period 31 	 [79, 33] 1.08 days. [2] R: 0
Period 31 	 [80, 36] 1.14 days. [1] R: 0
Period 31 	 [83, 20] 1.27 days. [1] R: 0
Period 31 	 [83, 63] 1.32 days. [1] R: 0
Period 31 	 [86, 49] 1.32 days. [1] R: 0
Period 31 	 [87, 37] 1.01 days. [1] R: 0
Period 31 	 [96, 19] 1.20 days. [1] R: 0
Period 31 	 [96, 20] 1.29 days. [1] R: 0
Period 31 	 [96, 35] 1.03 days. [1] R: 0
Period 31 	 [98, 31] 1.65 days. [1] R: 0
Period 31 	 [100, 29] 1.42 days. [1] R: 0
Period 31 	 [100, 49] 1.00 days. [3] R: 0
Period 31 	 [101, 49] 1.00 days. [3] R: 0
Period 31 	 [102, 36] 1.32 days. [2] R: 0
Period 31 	 [105, 29] 1.42 days. [2] R: 0
Period 31 	 [105, 50] 1.01 days. [1] R: 0
Period 32 	 [27, 40] 1.20 days. [1] R: 0
Period 32 	 [35, 14] 1.33 days. [1] R: 0
Period 32 	 [35, 25] 1.42 days. [3] R: 0
Period 32 	 [35, 45] 1.18 days. [1] R: 0
Period 32 	 [35, 62] 1.29 days. [1] R: 0
Period 32 	 [35, 86] 1.05 days. [1] R: 0
	 Repartido Periodo 31: 72.000000
	 Repartido Periodo 32: 8.000000
	 Repartido Periodo 33: 0.000000
	 Repartido Periodo 34: 0.000000
Scenario 0
	 Demandas Periodo 31: 493.000000 [0]
	 Demandas Periodo 32: 508.000000 [170]
	 Demandas Periodo 33: 540.000000 [0]
	 Demandas Periodo 34: 545.000000 [0]
Scenario 1
	 Demandas Periodo 31: 565.000000 [0]
	 Demandas Periodo 32: 584.000000 [170]
	 Demandas Periodo 33: 620.000000 [0]
	 Demandas Periodo 34: 627.000000 [0]
Scenario 2
	 Demandas Periodo 31: 486.000000 [0]
	 Demandas Periodo 32: 505.000000 [170]
	 Demandas Periodo 33: 537.000000 [0]
	 Demandas Periodo 34: 530.000000 [0]
ObjVal: 12.666667 Time: 153.243210 GAP: 0.000000
