Period 43 	 [0, 2, 33, 6, 59] 1.08 days. [1] R: 0
Period 43 	 [1, 2, 33, 12] 0.87 days. [1] R: 0
Period 43 	 [1, 2, 33, 12, 14] 0.99 days. [1] R: 0
Period 43 	 [1, 2, 33, 37, 89] 0.85 days. [1] R: 0
Period 43 	 [3, 2, 33, 6] 1.11 days. [1] R: 0
Period 43 	 [3, 2, 33, 19, 20] 1.03 days. [1] R: 0
Period 43 	 [3, 2, 33, 49, 98] 1.07 days. [1] R: 0
Period 43 	 [56, 2, 33, 12] 0.87 days. [1] R: 0
Period 43 	 [56, 2, 33, 29, 26] 0.97 days. [1] R: 0
Period 43 	 [57, 2, 33, 12] 0.87 days. [1] R: 0
Period 43 	 [57, 2, 33, 29, 27] 0.97 days. [1] R: 0
Period 43 	 [57, 2, 33, 37, 89] 0.85 days. [1] R: 0
Period 43 	 [6, 33, 12, 15] 0.81 days. [1] R: 0
Period 43 	 [60, 6, 33, 24, 78] 1.16 days. [1] R: 0
Period 43 	 [62, 6, 69] 0.27 days. [1] R: 0
Period 43 	 [12, 33, 6, 63] 0.76 days. [1] R: 0
Period 43 	 [12, 33, 19, 21] 0.65 days. [1] R: 0
Period 43 	 [12, 33, 24, 76] 0.83 days. [1] R: 0
Period 43 	 [12, 33, 49, 97] 0.67 days. [1] R: 0
Period 43 	 [19, 33, 37, 89] 0.53 days. [1] R: 0
Period 43 	 [19, 33, 49, 97] 0.68 days. [1] R: 0
Period 43 	 [18, 19, 33, 12] 0.65 days. [1] R: 0
Period 43 	 [18, 19, 33, 49, 97] 0.78 days. [1] R: 0
Period 43 	 [22, 19, 33, 37, 87] 0.63 days. [1] R: 0
Period 43 	 [24, 33, 12, 15] 0.92 days. [1] R: 0
Period 43 	 [77, 24, 33, 37, 82] 0.84 days. [1] R: 0
Period 43 	 [77, 24, 33, 37, 89] 0.91 days. [1] R: 0
Period 43 	 [28, 29, 33, 24] 1.03 days. [1] R: 0
Period 43 	 [28, 29, 33, 24, 76] 1.03 days. [1] R: 0
Period 43 	 [31, 29, 33, 12] 0.89 days. [1] R: 0
Period 43 	 [31, 29, 33, 49, 45] 1.18 days. [1] R: 0
Period 43 	 [37, 33, 6, 59] 0.61 days. [1] R: 0
Period 43 	 [37, 33, 12] 0.43 days. [1] R: 0
Period 43 	 [37, 33, 19, 17] 0.61 days. [1] R: 0
Period 43 	 [33, 6, 59] 0.45 days. [1] R: 0
Period 43 	 [33, 19, 17] 0.45 days. [1] R: 0
Period 43 	 [33, 37, 82] 0.17 days. [1] R: 0
