Period 31 	 [4, 2, 33, 19, 22] 1.10 days. [1] R: 0
Period 31 	 [4, 2, 33, 37, 35] 0.94 days. [1] R: 0
Period 31 	 [4, 2, 33, 37, 40] 0.92 days. [1] R: 0
Period 31 	 [5, 6, 33, 12, 15] 1.09 days. [1] R: 0
Period 31 	 [7, 6, 33, 29, 30] 0.96 days. [4] R: 0
Period 31 	 [7, 6, 33, 49, 51] 0.97 days. [1] R: 0
Period 31 	 [9, 6, 33, 29, 27] 0.94 days. [2] R: 0
Period 31 	 [9, 6, 33, 49, 50] 0.96 days. [3] R: 0
Period 31 	 [9, 6, 33, 49, 51] 0.96 days. [1] R: 0
Period 31 	 [59, 6, 65] 0.15 days. [1] R: 0
Period 31 	 [59, 6, 33, 49, 51] 0.94 days. [1] R: 0
Period 31 	 [64, 6, 33, 49, 103] 0.98 days. [1] R: 0
Period 31 	 [66, 6, 33, 49, 51] 0.97 days. [1] R: 0
Period 31 	 [12, 33, 19] 0.55 days. [2] R: 0
Period 31 	 [71, 12, 14] 0.23 days. [1] R: 0
Period 31 	 [17, 19, 33, 49, 42] 0.95 days. [1] R: 0
Period 31 	 [18, 19, 33, 6, 10] 0.84 days. [1] R: 0
Period 31 	 [18, 19, 33, 6, 69] 0.96 days. [10] R: 0
Period 31 	 [18, 19, 33, 49, 51] 0.76 days. [1] R: 0
Period 31 	 [24, 33, 37] 0.72 days. [1] R: 0
Period 31 	 [75, 24, 33, 49] 1.04 days. [2] R: 0
Period 31 	 [77, 24, 33, 49, 42] 1.07 days. [1] R: 0
Period 31 	 [77, 24, 33, 49, 52] 1.06 days. [2] R: 0
Period 31 	 [77, 24, 33, 49, 53] 1.05 days. [1] R: 0
Period 31 	 [36, 37, 33, 12, 70] 0.53 days. [3] R: 0
Period 31 	 [36, 37, 33, 29, 30] 0.63 days. [1] R: 0
Period 31 	 [36, 37, 33, 49, 53] 0.65 days. [1] R: 0
Period 31 	 [38, 37, 33, 6, 10] 0.81 days. [3] R: 0
Period 31 	 [38, 37, 33, 49, 51] 0.73 days. [1] R: 0
Period 31 	 [84, 37, 33, 6, 62] 0.75 days. [1] R: 0
Period 31 	 [84, 37] 0.11 days. [1] R: 0
Period 31 	 [84, 37, 33, 49, 54] 0.65 days. [1] R: 0
Period 31 	 [89, 37, 33, 19] 0.63 days. [1] R: 0
Period 31 	 [92, 37, 33, 12, 15] 0.72 days. [1] R: 0
Period 31 	 [96, 37, 33, 29, 30] 0.65 days. [1] R: 0
Period 31 	 [49, 55] 0.15 days. [1] R: 0
Period 31 	 [48, 49, 33, 29] 0.95 days. [1] R: 0
Period 31 	 [48, 49] 0.27 days. [1] R: 0
Period 31 	 [48, 49, 55] 0.32 days. [1] R: 0
Period 31 	 [97, 49, 103] 0.13 days. [1] R: 0
Period 31 	 [98, 49, 33, 29, 26] 0.86 days. [2] R: 0
Period 32 	 [10, 6, 8] 0.30 days. [1] R: 4
Period 32 	 [10, 6, 33, 49] 0.95 days. [1] R: 4
Period 32 	 [62, 6, 33, 49] 0.97 days. [1] R: 1
Period 32 	 [65, 6, 33, 49, 51] 0.98 days. [1] R: 1
Period 32 	 [69, 6, 33, 37, 35] 0.88 days. [2] R: 10
Period 32 	 [69, 6, 33, 37, 40] 0.86 days. [2] R: 10
Period 32 	 [69, 6, 33, 37, 41] 0.91 days. [3] R: 10
Period 32 	 [70, 12, 33, 49, 46] 0.84 days. [2] R: 3
Period 32 	 [26, 29] 0.17 days. [2] R: 2
Period 32 	 [27, 29, 33, 37, 84] 0.63 days. [2] R: 2
Period 32 	 [55, 49, 33, 19, 22] 0.90 days. [1] R: 2
Period 32 	 [55, 49, 44] 0.17 days. [1] R: 2
Period 32 	 [99, 49, 33, 12, 15] 0.85 days. [1] R: 0
Period 32 	 [99, 49, 97] 0.12 days. [1] R: 0
Period 32 	 [103, 49, 101] 0.11 days. [2] R: 2
Period 33 	 [61, 6, 33, 37, 39] 0.87 days. [1] R: 0
Period 33 	 [15, 12, 33, 2, 0] 0.99 days. [2] R: 3
Period 33 	 [16, 12, 33, 6, 62] 0.94 days. [1] R: 0
Period 33 	 [24, 33, 37, 38] 0.80 days. [1] R: 0
Period 33 	 [84, 37, 33] 0.27 days. [2] R: 2
Period 33 	 [46, 49, 33, 19] 0.85 days. [1] R: 2
Period 33 	 [46, 49, 33, 37, 34] 0.76 days. [1] R: 2
Period 33 	 [97, 49, 33, 37] 0.66 days. [1] R: 1
Period 33 	 [101, 49, 33, 19] 0.76 days. [2] R: 2
	 Repartido Periodo 31: 64.000000
	 Repartido Periodo 32: 23.000000
	 Repartido Periodo 33: 12.000000
	 Repartido Periodo 34: 0.000000
Scenario 0
	 Demandas Periodo 31: 493.000000 [0]
	 Demandas Periodo 32: 508.000000 [170]
	 Demandas Periodo 33: 540.000000 [0]
	 Demandas Periodo 34: 545.000000 [0]
Scenario 1
	 Demandas Periodo 31: 565.000000 [0]
	 Demandas Periodo 32: 584.000000 [170]
	 Demandas Periodo 33: 620.000000 [0]
	 Demandas Periodo 34: 627.000000 [0]
Scenario 2
	 Demandas Periodo 31: 486.000000 [0]
	 Demandas Periodo 32: 505.000000 [170]
	 Demandas Periodo 33: 537.000000 [0]
	 Demandas Periodo 34: 530.000000 [0]
ObjVal: 1.333333 Time: 236.147356 GAP: 0.000000
