Period 28 	 [1, 2, 33, 6, 60] 1.05 days. [1] R: 0
Period 28 	 [1, 2, 33, 37, 89] 0.85 days. [1] R: 0
Period 28 	 [1, 2, 33, 49, 97] 1.00 days. [13] R: 0
Period 28 	 [56, 2, 33, 37, 96] 0.78 days. [1] R: 0
Period 28 	 [56, 2, 33, 49, 54] 0.98 days. [3] R: 0
Period 28 	 [66, 6, 33, 19, 22] 0.95 days. [1] R: 0
Period 28 	 [69, 6, 33, 12, 70] 0.95 days. [1] R: 0
Period 28 	 [12, 33, 19] 0.55 days. [1] R: 0
Period 28 	 [12, 33, 29, 32] 0.66 days. [1] R: 0
Period 28 	 [12, 33, 37, 34] 0.46 days. [1] R: 0
Period 28 	 [12, 33, 37, 40] 0.45 days. [1] R: 0
Period 28 	 [12, 33, 37, 41] 0.50 days. [6] R: 0
Period 28 	 [12, 33, 49, 44] 0.67 days. [1] R: 0
Period 28 	 [12, 33, 49, 48] 0.82 days. [2] R: 0
Period 28 	 [12, 33, 49, 55] 0.70 days. [2] R: 0
Period 28 	 [12, 33, 49, 105] 0.66 days. [1] R: 0
Period 28 	 [11, 12, 33, 19, 22] 0.83 days. [1] R: 0
Period 28 	 [11, 12, 33, 37, 39] 0.76 days. [2] R: 0
Period 28 	 [13, 12, 33, 2, 3] 1.00 days. [1] R: 0
Period 28 	 [13, 12, 33, 19, 18] 0.71 days. [1] R: 0
Period 28 	 [13, 12, 33] 0.43 days. [3] R: 0
Period 28 	 [13, 12, 33, 49, 50] 0.83 days. [3] R: 0
Period 28 	 [71, 12, 33, 2, 3] 0.94 days. [1] R: 0
Period 28 	 [71, 12, 33, 24, 23] 0.93 days. [1] R: 0
Period 28 	 [19, 33, 37, 79] 0.47 days. [1] R: 0
Period 28 	 [19, 33, 49, 103] 0.67 days. [3] R: 0
Period 28 	 [21, 19, 22] 0.29 days. [1] R: 0
Period 28 	 [21, 19, 33] 0.48 days. [1] R: 0
Period 28 	 [73, 19, 33, 37, 79] 0.58 days. [5] R: 0
Period 28 	 [73, 19, 33, 49, 51] 0.77 days. [1] R: 0
Period 28 	 [37, 33, 2, 4] 0.80 days. [1] R: 0
Period 28 	 [37, 33, 12, 70] 0.43 days. [2] R: 0
Period 28 	 [37, 33, 19, 18] 0.44 days. [3] R: 0
Period 28 	 [33, 6, 9] 0.47 days. [2] R: 0
Period 28 	 [33, 19, 20] 0.37 days. [1] R: 0
Period 28 	 [33, 29, 32] 0.39 days. [1] R: 0
Period 28 	 [33, 37, 41] 0.23 days. [6] R: 0
Period 28 	 [33, 49, 53] 0.39 days. [3] R: 0
Period 28 	 [33, 49, 104] 0.39 days. [2] R: 0
Period 28 	 [36, 37, 33, 6, 10] 0.72 days. [1] R: 0
Period 28 	 [36, 37, 83] 0.10 days. [1] R: 0
Period 28 	 [80, 37, 33, 6, 10] 0.86 days. [2] R: 0
Period 28 	 [80, 37, 33, 12, 70] 0.67 days. [4] R: 0
Period 28 	 [84, 37, 89] 0.20 days. [1] R: 0
Period 28 	 [87, 37, 33, 6, 63] 0.76 days. [1] R: 0
Period 28 	 [42, 49, 33, 12, 15] 0.87 days. [1] R: 0
Period 28 	 [42, 49, 33, 24, 76] 1.07 days. [1] R: 0
Period 28 	 [42, 49, 33, 37, 96] 0.68 days. [1] R: 0
Period 28 	 [52, 49, 33, 6, 7] 0.98 days. [4] R: 0
Period 28 	 [52, 49, 33, 12, 16] 0.85 days. [1] R: 0
Period 28 	 [52, 49, 33, 19, 17] 0.94 days. [1] R: 0
Period 28 	 [52, 49, 33, 37, 79] 0.68 days. [5] R: 0
Period 28 	 [52, 49, 33, 37, 88] 0.66 days. [13] R: 0
Period 28 	 [52, 49, 51] 0.11 days. [2] R: 0
Period 28 	 [52, 49, 97] 0.13 days. [3] R: 0
Period 28 	 [99, 49, 33, 6, 8] 1.12 days. [1] R: 0
Period 28 	 [99, 49, 33, 12, 14] 0.88 days. [1] R: 0
Period 28 	 [99, 49, 33, 12, 70] 0.76 days. [3] R: 0
Period 29 	 [1, 2, 33, 37, 86] 0.77 days. [1] R: 0
Period 29 	 [1, 2, 33, 49, 105] 0.99 days. [4] R: 0
Period 29 	 [14, 12, 33, 37, 41] 0.72 days. [1] R: 1
Period 29 	 [15, 12, 33, 29] 0.77 days. [1] R: 1
Period 29 	 [70, 12, 33, 49, 52] 0.76 days. [8] R: 10
Period 29 	 [33, 6, 5] 0.62 days. [3] R: 4
Period 29 	 [33, 6, 8] 0.64 days. [1] R: 4
Period 29 	 [33, 6, 64] 0.49 days. [1] R: 4
Period 29 	 [33, 6, 68] 0.50 days. [9] R: 4
Period 29 	 [33, 37, 38] 0.24 days. [2] R: 4
Period 29 	 [79, 37, 33, 49, 46] 0.76 days. [3] R: 11
Period 29 	 [79, 37, 33, 49, 50] 0.68 days. [1] R: 11
Period 29 	 [79, 37, 33, 49, 52] 0.68 days. [1] R: 11
Period 29 	 [83, 37, 33, 29] 0.56 days. [2] R: 1
Period 29 	 [88, 37, 33, 2] 0.77 days. [1] R: 13
Period 29 	 [88, 37, 41] 0.18 days. [9] R: 13
Period 29 	 [88, 37, 33, 49, 52] 0.66 days. [1] R: 13
Period 29 	 [89, 37, 33, 29] 0.65 days. [2] R: 2
Period 29 	 [44, 49, 33, 6, 58] 1.11 days. [1] R: 1
Period 29 	 [44, 49, 33, 19, 21] 0.88 days. [1] R: 1
Period 29 	 [97, 49, 33, 12] 0.77 days. [7] R: 16
Period 29 	 [97, 49, 33, 12, 11] 0.87 days. [2] R: 16
Period 29 	 [97, 49, 33, 19] 0.78 days. [3] R: 16
Period 29 	 [97, 49, 33, 19, 18] 0.78 days. [1] R: 16
Period 29 	 [97, 49, 33, 37] 0.66 days. [1] R: 16
Period 29 	 [97, 49, 33, 37, 38] 0.74 days. [1] R: 16
Period 29 	 [97, 49, 33, 37, 40] 0.68 days. [1] R: 16
Period 29 	 [99, 49, 33, 37] 0.65 days. [1] R: 0
Period 29 	 [99, 49, 33, 37, 41] 0.72 days. [1] R: 0
Period 29 	 [101, 49, 33, 12, 72] 0.76 days. [1] R: 0
Period 29 	 [103, 49, 33, 2] 0.99 days. [3] R: 3
Period 30 	 [63, 6, 33, 49] 0.98 days. [1] R: 1
Period 30 	 [12, 33, 6] 0.72 days. [4] R: 7
Period 30 	 [12, 33, 37, 38] 0.51 days. [3] R: 7
Period 30 	 [11, 12, 33] 0.47 days. [2] R: 2
Period 30 	 [16, 12, 33, 19, 18] 0.74 days. [1] R: 1
Period 30 	 [19, 33] 0.28 days. [2] R: 4
Period 30 	 [21, 19, 33] 0.48 days. [1] R: 1
Period 30 	 [24, 33] 0.56 days. [1] R: 0
Period 30 	 [37, 33, 6] 0.61 days. [3] R: 2
Period 30 	 [41, 37, 33] 0.33 days. [17] R: 23
Period 30 	 [79, 37, 33, 6, 5] 0.92 days. [1] R: 11
Period 30 	 [87, 37, 33, 19, 18] 0.54 days. [1] R: 0
Period 30 	 [46, 49, 33] 0.57 days. [2] R: 3
Period 30 	 [97, 49, 33, 6] 0.95 days. [1] R: 16
Period 30 	 [104, 49, 33, 6] 0.94 days. [2] R: 2
Period 30 	 [105, 49, 33, 2] 0.98 days. [2] R: 5
	 Repartido Periodo 28: 130.000000
	 Repartido Periodo 29: 75.000000
	 Repartido Periodo 30: 44.000000
	 Repartido Periodo 31: 0.000000
Scenario 0
	 Demandas Periodo 28: 463.000000 [0]
	 Demandas Periodo 29: 474.000000 [0]
	 Demandas Periodo 30: 480.000000 [0]
	 Demandas Periodo 31: 493.000000 [0]
Scenario 1
	 Demandas Periodo 28: 536.000000 [0]
