Period 40 	 [4, 2, 33, 37, 83] 0.90 days. [6] R: 0
Period 40 	 [4, 2, 33, 37, 85] 0.90 days. [8] R: 0
Period 40 	 [58, 6, 33, 37, 82] 0.89 days. [1] R: 0
Period 40 	 [71, 12, 33, 6, 66] 0.86 days. [1] R: 0
Period 40 	 [17, 19, 33, 6, 63] 1.04 days. [1] R: 0
Period 40 	 [17, 19, 33, 37, 85] 0.71 days. [1] R: 0
Period 40 	 [18, 19, 33, 6, 66] 0.87 days. [8] R: 0
Period 40 	 [20, 19, 33, 49, 98] 0.87 days. [2] R: 0
Period 40 	 [22, 19, 33, 37, 82] 0.63 days. [2] R: 0
Period 40 	 [22, 19, 33, 49] 0.84 days. [1] R: 0
Period 40 	 [37, 82] 0.11 days. [1] R: 0
Period 40 	 [33, 2, 3] 0.57 days. [1] R: 0
Period 40 	 [36, 37, 33, 6, 66] 0.75 days. [2] R: 0
Period 40 	 [38, 37, 82] 0.20 days. [2] R: 0
Period 40 	 [38, 37, 33, 49, 99] 0.73 days. [1] R: 0
Period 40 	 [39, 37, 85] 0.23 days. [1] R: 0
Period 40 	 [40, 37, 33, 6, 59] 0.73 days. [3] R: 0
Period 40 	 [40, 37, 33, 19, 21] 0.66 days. [2] R: 0
Period 40 	 [40, 37, 88] 0.13 days. [6] R: 0
Period 40 	 [40, 37, 33, 49, 99] 0.67 days. [6] R: 0
Period 40 	 [79, 37, 33, 29, 26] 0.66 days. [1] R: 0
Period 40 	 [84, 37, 33, 6, 66] 0.75 days. [2] R: 0
Period 40 	 [87, 37, 33, 6, 61] 0.74 days. [1] R: 0
Period 40 	 [87, 37, 33] 0.27 days. [1] R: 0
Period 40 	 [87, 37, 83] 0.11 days. [7] R: 0
Period 40 	 [49, 33, 37, 82] 0.55 days. [1] R: 0
Period 40 	 [49, 98] 0.12 days. [1] R: 0
Period 40 	 [48, 49, 33, 37, 41] 0.88 days. [1] R: 0
Period 40 	 [53, 49, 33, 6, 61] 0.97 days. [3] R: 0
Period 40 	 [53, 49, 52] 0.12 days. [1] R: 0
Period 40 	 [97, 49, 33, 6, 59] 0.95 days. [1] R: 0
Period 40 	 [97, 49, 51] 0.12 days. [1] R: 0
Period 41 	 [2, 33, 12, 16] 0.86 days. [3] R: 0
Period 41 	 [6, 33, 24, 77] 1.01 days. [4] R: 0
Period 41 	 [59, 6, 33, 29, 26] 0.92 days. [1] R: 4
Period 41 	 [61, 6, 33, 49, 105] 0.96 days. [3] R: 4
Period 41 	 [65, 6, 33, 37, 84] 0.76 days. [1] R: 0
Period 41 	 [66, 6, 33, 37, 41] 0.82 days. [10] R: 13
Period 41 	 [19, 33, 37, 79] 0.47 days. [11] R: 0
Period 41 	 [21, 19, 33, 29, 27] 0.84 days. [2] R: 2
Period 41 	 [29, 33, 6, 58] 0.91 days. [5] R: 0
Period 41 	 [29, 33, 6, 64] 0.79 days. [2] R: 0
Period 41 	 [29, 30] 0.17 days. [1] R: 0
Period 41 	 [29, 33, 37, 41] 0.53 days. [6] R: 0
Period 41 	 [29, 33, 37, 89] 0.55 days. [5] R: 0
Period 41 	 [29, 33, 49, 100] 0.68 days. [13] R: 0
Period 41 	 [37, 34] 0.13 days. [5] R: 0
Period 41 	 [35, 37, 84] 0.14 days. [2] R: 0
Period 41 	 [38, 37, 33, 2, 3] 0.91 days. [1] R: 0
Period 41 	 [82, 37, 33, 6, 64] 0.76 days. [5] R: 7
Period 41 	 [85, 37, 33, 19] 0.54 days. [9] R: 10
Period 41 	 [87, 37, 33, 19, 73] 0.55 days. [1] R: 0
Period 41 	 [88, 37, 33] 0.27 days. [6] R: 6
Period 41 	 [49, 33, 24, 25] 1.04 days. [1] R: 1
Period 41 	 [48, 49, 97] 0.29 days. [1] R: 0
Period 41 	 [52, 49, 102] 0.12 days. [1] R: 1
Period 41 	 [53, 49, 102] 0.11 days. [1] R: 0
Period 41 	 [98, 49, 102] 0.12 days. [2] R: 3
Period 41 	 [99, 49, 54] 0.11 days. [1] R: 7
Period 41 	 [99, 49, 102] 0.11 days. [4] R: 7
Period 42 	 [63, 6, 33, 12] 0.86 days. [1] R: 1
Period 42 	 [16, 12, 33, 2, 0] 0.98 days. [2] R: 3
Period 42 	 [26, 29, 33, 37, 89] 0.72 days. [2] R: 2
Period 42 	 [27, 29, 33, 2, 57] 0.97 days. [2] R: 2
Period 42 	 [34, 37, 33, 6, 65] 0.78 days. [2] R: 5
Period 42 	 [38, 37, 33, 19, 21] 0.72 days. [1] R: 0
Period 42 	 [79, 37, 33, 2, 0] 0.81 days. [2] R: 11
Period 42 	 [79, 37, 33, 6, 8] 0.93 days. [6] R: 11
Period 42 	 [82, 37, 33, 49, 55] 0.70 days. [1] R: 7
Period 42 	 [84, 37, 33] 0.27 days. [3] R: 3
Period 42 	 [87, 37, 33, 6, 8] 0.90 days. [1] R: 0
Period 42 	 [87, 37, 33, 24, 76] 0.83 days. [1] R: 0
Period 42 	 [51, 49, 103] 0.11 days. [2] R: 1
Period 42 	 [52, 49, 55] 0.16 days. [1] R: 1
Period 42 	 [52, 49, 104] 0.12 days. [1] R: 1
Period 42 	 [54, 49, 33, 6, 62] 0.97 days. [1] R: 1
Period 42 	 [99, 49, 103] 0.11 days. [1] R: 7
Period 42 	 [100, 49, 97] 0.12 days. [10] R: 13
Period 42 	 [102, 49, 33, 2] 0.99 days. [1] R: 8
Period 42 	 [105, 49, 33, 6, 7] 0.98 days. [2] R: 3
Period 42 	 [105, 49, 33, 37, 41] 0.71 days. [1] R: 3
	 Repartido Periodo 40: 77.000000
	 Repartido Periodo 41: 107.000000
	 Repartido Periodo 42: 44.000000
	 Repartido Periodo 43: 0.000000
Scenario 0
	 Demandas Periodo 40: 527.000000 [259]
	 Demandas Periodo 41: 506.000000 [0]
	 Demandas Periodo 42: 487.000000 [0]
	 Demandas Periodo 43: 473.000000 [0]
Scenario 1
	 Demandas Periodo 40: 599.000000 [259]
	 Demandas Periodo 41: 573.000000 [0]
	 Demandas Periodo 42: 550.000000 [0]
	 Demandas Periodo 43: 542.000000 [0]
Scenario 2
	 Demandas Periodo 40: 519.000000 [259]
	 Demandas Periodo 41: 497.000000 [0]
	 Demandas Periodo 42: 478.000000 [0]
	 Demandas Periodo 43: 459.000000 [0]
ObjVal: 3.000000 Time: 238.486331 GAP: 0.000000
